visitorId,session_Id,command_name,command_Id,command_category,command_subcategory,command_subcategory 2,allpaln_version,category 1,category 2,URL,timestamp,time_spent
51af6fb93c0b5ae9,1174547,Allplan Start,30119,Internal,Menu,Internal,2023,MF,Internal,http://allplan/2023/MF/Internal/Allplan_Start,1709792284,29
51af6fb93c0b5ae9,1174547,Filevw_last_project_2,30868,MenuFunction,Menu,Konstruktion,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Filevw_last_project_2,1709792313,9
51af6fb93c0b5ae9,1174547,Lkomen_takt,30808,MenuFunction,ElementContext,Planplot,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_takt,1709792322,30
51af6fb93c0b5ae9,1174547,Lkomen_elementinfo_spez,30839,MenuFunction,ElementContext,Planplot,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_elementinfo_spez,1709792352,22
51af6fb93c0b5ae9,1174547,Lkomen_umschalt_plan_tb,30809,MenuFunction,Menu,Planplot,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_umschalt_plan_tb,1709792374,4
51af6fb93c0b5ae9,1174547,Lkomen_takt,30808,MenuFunction,ElementContext,Konstruktion,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_takt,1709792378,45
51af6fb93c0b5ae9,1174547,Lkomen_takt,30808,MenuFunction,ElementContext,Konstruktion,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_takt,1709792423,18
51af6fb93c0b5ae9,1174547,Lkomen_takt,30808,MenuFunction,ElementContext,Konstruktion,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_takt,1709792441,44
51af6fb93c0b5ae9,1174547,Allg_verschieben,31008,MenuFunction,Actionbar,Konstruktion,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Allg_verschieben,1709792485,25
51af6fb93c0b5ae9,1174547,Lkomen_umschalt_plan_tb,30809,MenuFunction,Menu,Konstruktion,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_umschalt_plan_tb,1709792510,4
51af6fb93c0b5ae9,1174547,Lkomen_takt,30808,MenuFunction,ElementContext,Planplot,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_takt,1709792514,36
51af6fb93c0b5ae9,1174547,Lkomen_elementinfo_spez,30839,MenuFunction,ElementContext,Planplot,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_elementinfo_spez,1709792550,9
51af6fb93c0b5ae9,1174547,Lkomen_takt,30808,MenuFunction,ElementContext,Planplot,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_takt,1709792559,16
51af6fb93c0b5ae9,1174547,Lkomen_takt,30808,MenuFunction,ElementContext,Planplot,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_takt,1709792575,32
51af6fb93c0b5ae9,1174547,Planplot_pframe_modify,31013,MenuFunction,Actionbar,Planplot,2023,MF,Planplot,http://allplan/2023/MF/Planplot/Planplot_pframe_modify,1709792607,59
51af6fb93c0b5ae9,1174547,Lkomen_takt,30808,MenuFunction,ElementContext,Planplot,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_takt,1709792666,26
51af6fb93c0b5ae9,1174547,Planplot_pframe_modify,31013,MenuFunction,Actionbar,Planplot,2023,MF,Planplot,http://allplan/2023/MF/Planplot/Planplot_pframe_modify,1709792692,14
51af6fb93c0b5ae9,1174547,Planplot_pframe_modify,31013,MenuFunction,Menu,Planplot,2023,MF,Planplot,http://allplan/2023/MF/Planplot/Planplot_pframe_modify,1709792706,73
51af6fb93c0b5ae9,1174547,Lkomen_umschalt_plan_tb,30809,MenuFunction,Menu,Planplot,2023,MF,Allgemein,http://allplan/2023/MF/Allgemein/Lkomen_umschalt_plan_tb,1709792779,27
